gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength
9692-9692_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 9:18,1,13.01,6,Red,top,YSKM,oe:player:7deb8d68aef0757c10381b599f855de,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Camille,Yuumi,Lucian,Ashe,Zeri,Sivir,2762
9692-9692_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 9:18,1,13.01,7,Red,jng,gideon,oe:player:fbcff2ba1ed74db00928574990c96dc,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Viego,Yuumi,Lucian,Ashe,Zeri,Sivir,2762
9692-9692_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 9:18,1,13.01,8,Red,mid,neny,oe:player:7a8be380f1f059a62c13e9969628588,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Ryze,Yuumi,Lucian,Ashe,Zeri,Sivir,2762
9692-9692_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 9:18,1,13.01,9,Red,bot,Ahn,oe:player:66d0ff0f8f9b5296770c1dbda549950,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Varus,Yuumi,Lucian,Ashe,Zeri,Sivir,2762
9692-9692_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 9:18,1,13.01,10,Red,sup,Wink,oe:player:39d7885ab4602a7f8d202883d253f5e,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Lux,Yuumi,Lucian,Ashe,Zeri,Sivir,2762
9692-9692_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 10:25,2,13.01,1,Blue,top,Zdz,oe:player:132ee4b29ebeac294a420dcebe64bdc,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,Camille,Jax,Wukong,Heimerdinger,Ashe,Kalista,1529
9692-9692_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 10:25,2,13.01,2,Blue,jng,Xiaohao,oe:player:58771d428ade54dd5983bbe70ce0383,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,Graves,Jax,Wukong,Heimerdinger,Ashe,Kalista,1529
9692-9692_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 10:25,2,13.01,3,Blue,mid,Harder,oe:player:c6ad8b5c4df40d2f69ee833a8a56681,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,Galio,Jax,Wukong,Heimerdinger,Ashe,Kalista,1529
9692-9692_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 10:25,2,13.01,4,Blue,bot,Betty,oe:player:7e754adda86a60e0a39d7204ba60424,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,Varus,Jax,Wukong,Heimerdinger,Ashe,Kalista,1529
9692-9692_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 10:25,2,13.01,5,Blue,sup,SwordArt,oe:player:0908c66a5c361f682282599e75b334f,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,Renata Glasc,Jax,Wukong,Heimerdinger,Ashe,Kalista,1529
